,,
,,
flute1,18 Flute.wav,
oboe1,19 Oboe 1.wav,355.1-362.3
oboe2,20 Oboe 2.wav,355.3-362.3
fagott1,21 Fagott 1.wav,354.1-362.3
fagott2,22 Fagott 2.wav,360.1-362.3
horn1,25 Horn 1.wav,354.1-362.3
horn2,26 Horn 2.wav,354.1-362.3
trompete1,23 Trompete 1.wav,
trompete2,24 Trompete 2.wav,
pauke1,27 Pauke.wav,
piano1,01 PNO.wav,362.1-370.2
violin1,"02 Violine 1.1.wav
03 Violine 1.2.wav
04 Violine 1.3.wav
05 Violine 1.4.wav",
violin2,"06 Violine 2.1.wav
07 Violine 2.2.wav
08 Violine 2.3.wav
09 Violine 2.4.wav",
viola1,"10 Viola 1.wav
11 Viola 2.wav
12 Viola 3.wav",
cello1,"13 Cello 1.wav
14 Cello 2.wav
15 Cello 3.wav",
bass1,"16 Bass 1.wav
17 Bass 2.wav",363.1-370.2
