,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flute1,18 Flute.wav,,15.1-40.3,44.1-63.1,,,98.1-110.3,,,130.3-134.2,139.1-147.1,156.1-160.3,,182.1-195.3,212.1-214.3,216.1-218.3,220.1-222.3,224.1-229.4,,241.3-247.3,249.3-251.3,253.3-255.3,257.3-261.3,,,,282.1-289.3,,302.1-310.1,,325.3-329.2,338.1-346.1,,,370.1-376.3,379.1-388.3,391.1-401.2,,403.1-409.2,,411.1-413.1,,415.1-417.1,422.1-428.4
oboe1,19 Oboe 1.wav,,15.1-40.3,44.1-63.1,,,98.1-110.3,,,130.1-133.3,139.1-147.1,156.1-160.3,,182.1-195.3,,,,224.1-229.4,240.1-261.3,,,,,,,,277.1-289.3,,302.1-310.1,,325.1-328.3,337.1-346.1,,355.1-362.3,370.1-401.2,,,,403.1-409.2,,411.1-413.1,,415.1-417.1,420.1-428.4
oboe2,20 Oboe 2.wav,,15.1-40.3,44.1-63.1,,,102.1-110.3,,,130.1-133.3,,,,182.1-195.3,,,,224.1-229.4,240.1-261.3,,,,,,,,277.1-289.3,,,,325.1-328.3,337.1-346.1,,355.3-362.3,370.1-394.3,,,,,,411.1-413.1,,415.1-417.1,419.1-428.4
fagott1,21 Fagott 1.wav,,14.1-63.1,,,,98.1-110.3,,,130.1-133.3,139.1-147.1,156.1-160.3,,181.1-195.3,214.1-216.3,218.1-220.3,222.1-229.4,,240.1-241.3,244.1-245.3,248.1-249.3,252.1-253.3,256.1-257.3,260.1-261.3,,,277.1-289.3,,302.1-310.1,,325.1-328.3,337.1-346.1,,354.1-362.3,370.1-376.3,379.1-388.3,391.1-401.2,,403.1-409.2,,411.1-413.1,,415.1-428.4,
fagott2,22 Fagott 2.wav,,14.1-63.1,,,,,,,130.1-133.3,,,,181.1-195.3,,,,,,244.1-245.3,,,,260.1-261.3,,,,,,,325.1-328.3,337.1-346.1,,360.1-362.3,370.1-376.3,379.1-388.3,391.1-394.3,,,,411.1-413.1,,415.1-428.4,
horn1,25 Horn 1.wav,,,24.1-63.1,,,,,,,,,,182.1-195.3,,,,224.1-229.4,,,,,,,,,,,,,,337.1-346.1,,354.1-362.3,370.1-394.3,,,401.1-403.2,,409.1-411.1,,413.1-428.4,,
horn2,26 Horn 2.wav,,,24.1-63.1,,,,,,,,,,182.1-195.3,,,,224.1-229.4,,,,,,,,,,,,,,337.1-346.1,,354.1-362.3,370.1-394.3,,,401.1-403.2,,409.1-411.1,,413.1-428.4,,
trompete1,23 Trompete 1.wav,,,24.1-48.1,54.1-63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,337.1-346.1,,,370.1-376.3,382.1-388.2,,401.1-403.2,,409.1-411.1,,413.1-415.1,,423.1-428.4
trompete2,24 Trompete 2.wav,,,24.1-48.1,54.1-63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,337.1-346.1,,,370.1-376.3,382.1-388.2,,401.1-403.2,,409.1-411.1,,413.1-415.1,,423.1-428.4
pauke1,27 Pauke.wav,,,24.1-48.1,54.1-63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,337.1-346.1,,,370.1-376.3,382.1-388.2,,,,,,,,423.1-428.4
